,index,customer_name,customer_part_no,site_db,eta,quantity,time_idx
615,615,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,47ee7822a8126637e53831bf85d759d8,EVMI2CD,2022/5/2,1152,4
616,616,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,47ee7822a8126637e53831bf85d759d8,EVMI2CD,2022/5/30,4235,5
617,617,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,47ee7822a8126637e53831bf85d759d8,EVMI2CD,2022/6/27,166,6
618,618,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,47ee7822a8126637e53831bf85d759d8,EVMI2CD,2022/7/25,96,7
619,619,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,47ee7822a8126637e53831bf85d759d8,EVMI2CD,2022/8/22,476,8
620,620,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,47ee7822a8126637e53831bf85d759d8,EVMI2CD,2022/9/19,459,9
621,621,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,47ee7822a8126637e53831bf85d759d8,EVMI2CD,2022/10/17,4245,10
622,622,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,47ee7822a8126637e53831bf85d759d8,EVMI2CD,2022/11/14,339,11
623,623,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,636ba2ee9d0d89317427eae778d2c509,EVMI2CD,2022/1/10,10251,0
624,624,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,636ba2ee9d0d89317427eae778d2c509,EVMI2CD,2022/2/7,70147,1
625,625,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,636ba2ee9d0d89317427eae778d2c509,EVMI2CD,2022/3/7,84075,2
626,626,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,636ba2ee9d0d89317427eae778d2c509,EVMI2CD,2022/4/4,96418,3
627,627,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,636ba2ee9d0d89317427eae778d2c509,EVMI2CD,2022/5/2,43490,4
628,628,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,636ba2ee9d0d89317427eae778d2c509,EVMI2CD,2022/5/30,71200,5
629,629,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,636ba2ee9d0d89317427eae778d2c509,EVMI2CD,2022/6/27,0,6
630,630,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,636ba2ee9d0d89317427eae778d2c509,EVMI2CD,2022/7/25,47541,7
631,631,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,636ba2ee9d0d89317427eae778d2c509,EVMI2CD,2022/8/22,58119,8
632,632,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,636ba2ee9d0d89317427eae778d2c509,EVMI2CD,2022/9/19,35820,9
633,633,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,636ba2ee9d0d89317427eae778d2c509,EVMI2CD,2022/10/17,34530,10
634,634,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,636ba2ee9d0d89317427eae778d2c509,EVMI2CD,2022/11/14,0,11
635,635,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,636ba2ee9d0d89317427eae778d2c509,EVMI2CD,2022/12/12,68730,12
636,636,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,636ba2ee9d0d89317427eae778d2c509,EVMI2CD,2023/1/9,24235,13
637,637,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,6a19818fa844a09f48f69cc051a75d1e,EVMI2CD,2022/1/10,600,0
638,638,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,6a19818fa844a09f48f69cc051a75d1e,EVMI2CD,2022/2/7,391740,1
